C1,P5,2024-08-28,1
C2,P3,2024-08-27,1
C3,P2,2024-08-26,1
C4,P4,2024-08-25,1
C5,P1,2024-08-24,1
C6,P5,2024-08-23,1
C7,P6,2024-08-22,2
C8,P7,2024-08-21,1
C9,P8,2024-08-20,1
C10,P9,2024-08-19,1
C1,P10,2024-08-18,2
C2,P11,2024-08-17,1
C3,P12,2024-08-16,1
C4,P13,2024-08-15,1
C5,P14,2024-08-14,1
C6,P15,2024-08-13,2
C7,P16,2024-08-12,1
C8,P17,2024-08-11,1
C9,P18,2024-08-10,1
C10,P19,2024-08-09,1
C1,P20,2024-08-08,1
C2,P1,2024-08-07,1
C3,P3,2024-08-06,1
C4,P5,2024-08-05,1
C5,P7,2024-08-04,1
C6,P9,2024-08-03,1
C7,P11,2024-08-02,1
C8,P13,2024-08-01,1
C9,P15,2024-07-31,1
C10,P17,2024-07-30,1
