Date,Student_ID,Reason
2024-07-01,24049,Alarm clock did not ring
2024-07-01,24057,Bus arrived late
2024-07-01,24976,Bus arrived late
2024-07-02,24039,Heavy traffic
2024-07-02,24076,Missed the bus
2024-07-02,24734,Alarm clock did not ring
2024-07-03,24065,Overslept
2024-07-03,24092,Missed the bus
2024-07-03,24893,Missed the bus
2024-07-04,24036,Alarm clock did not ring
2024-07-04,24087,Public transport delay
2024-07-04,24958,Heavy traffic
2024-07-05,24014,Bus broke down
2024-07-05,24872,Public transport delay
2024-07-07,24097,Missed the bus
2024-07-07,24691,Alarm clock did not ring
2024-07-08,24018,Alarm clock did not ring
2024-07-08,24081,Heavy traffic
2024-07-08,24804,Bus broke down
2024-07-09,24033,Missed the bus
2024-07-09,24042,Public transport delay
2024-07-09,24987,Overslept
2024-07-10,24030,Bus arrived late
2024-07-10,24068,Overslept
2024-07-10,24632,Missed the bus
2024-07-11,24027,Public transport delay
2024-07-11,24084,Missed the bus
2024-07-11,24911,Heavy traffic
2024-07-12,24041,Bus broke down
2024-07-12,24063,Heavy traffic
2024-07-12,24833,Public transport delay
2024-07-14,24050,Alarm clock did not ring
2024-07-14,24990,Alarm clock did not ring
2024-07-15,24031,Missed the bus
2024-07-15,24088,Overslept
2024-07-15,24092,Missed the bus
2024-07-15,24785,Missed the bus
2024-07-16,24096,Public transport delay
2024-07-16,24099,Bus arrived late
2024-07-16,24679,Bus arrived late
2024-07-17,24032,Missed the bus
2024-07-17,24044,Heavy traffic
2024-07-17,24904,Heavy traffic
2024-07-18,24024,Public transport delay
2024-07-18,24093,Bus broke down
2024-07-18,24746,Public transport delay
2024-07-19,24058,Missed the bus
2024-07-19,24085,Alarm clock did not ring
2024-07-19,24953,Alarm clock did not ring
2024-07-21,24056,Public transport delay
2024-07-21,24723,Bus broke down
2024-07-22,24023,Heavy traffic
2024-07-22,24079,Bus arrived late
2024-07-22,24896,Overslept
2024-07-23,24047,Overslept
2024-07-23,24054,Alarm clock did not ring
2024-07-23,24092,Missed the bus
2024-07-23,24902,Missed the bus
2024-07-24,24053,Bus broke down
2024-07-24,24089,Missed the bus
2024-07-24,24658,Heavy traffic
2024-07-25,24037,Public transport delay
2024-07-25,24095,Bus arrived late
2024-07-25,24973,Public transport delay
2024-07-26,24041,Overslept
2024-07-26,24071,Alarm clock did not ring
2024-07-26,24844,Alarm clock did not ring
2024-07-28,24014,Bus broke down
2024-07-28,24689,Missed the bus
2024-07-29,24033,Public transport delay
2024-07-29,24087,Heavy traffic
2024-07-29,24931,Bus arrived late
2024-07-30,24018,Bus arrived late
2024-07-30,24036,Missed the bus
2024-07-30,24865,Heavy traffic
2024-07-31,24063,Heavy traffic
2024-07-31,24082,Alarm clock did not ring
2024-07-31,24795,Public transport delay
2024-08-01,24050,Public transport delay
2024-08-01,24094,Bus broke down
2024-08-01,24092,Missed the bus
2024-08-01,24981,Bus broke down
2024-08-02,24085,Bus arrived late
2024-08-02,24093,Missed the bus
2024-08-02,24829,Alarm clock did not ring
2024-08-04,24022,Alarm clock did not ring
2024-08-04,24999,Missed the bus
2024-08-05,24056,Public transport delay
2024-08-05,24058,Heavy traffic
2024-08-05,24819,Heavy traffic
2024-08-06,24032,Bus arrived late
2024-08-06,24054,Missed the bus
2024-08-06,24927,Public transport delay
2024-08-07,24068,Heavy traffic
2024-08-07,24081,Alarm clock did not ring
2024-08-07,24095,Overslept
2024-08-07,24935,Alarm clock did not ring
2024-08-08,24047,Bus broke down
2024-08-08,24055,Overslept
2024-08-08,24071,Missed the bus
2024-08-08,24073,Overslept
2024-08-08,24079,Public transport delay
2024-08-08,24781,Missed the bus
2024-08-08,24854,Heavy traffic
2024-08-11,24037,Public transport delay
2024-08-11,24921,Public transport delay
2024-08-12,24057,Alarm clock did not ring
2024-08-12,24099,Bus arrived late
2024-08-12,24983,Bus broke down
2024-08-13,24031,Missed the bus
2024-08-13,24036,Heavy traffic
2024-08-13,24047,Missed the bus
2024-08-13,24073,Overslept
2024-08-13,24897,Alarm clock did not ring
2024-08-14,24022,Bus broke down
2024-08-14,24073,Overslept
2024-08-14,24076,Public transport delay
2024-08-14,24693,Missed the bus
2024-08-15,24033,Overslept
2024-08-15,24073,Overslept
2024-08-15,24089,Missed the bus
2024-08-15,24095,Diarrhea
2024-08-15,24965,Heavy traffic
2024-08-16,24063,Public transport delay
2024-08-16,24095,Bus arrived late
2024-08-16,24832,Public transport delay
2024-08-18,24041,Heavy traffic
2024-08-18,24073,Overslept
2024-08-18,24679,Alarm clock did not ring
2024-08-19,24014,Bus broke down
2024-08-19,24050,Missed the bus
2024-08-19,24978,Missed the bus
2024-08-20,24023,Public transport delay
2024-08-20,24044,Overslept
2024-08-20,24821,Heavy traffic
2024-08-21,24073,Overslept
2024-08-21,24084,Heavy traffic
2024-08-21,24088,Bus arrived late
2024-08-21,24092,Missed the bus
2024-08-21,24999,Public transport delay
2024-08-22,24018,Alarm clock did not ring
2024-08-22,24082,Missed the bus
2024-08-22,24985,Bus broke down
2024-08-23,24053,Public transport delay
2024-08-23,24065,Heavy traffic
2024-08-23,24754,Alarm clock did not ring
2024-08-25,24093,Missed the bus
2024-08-25,24683,Missed the bus
2024-08-26,24024,Bus arrived late
2024-08-26,24049,Public transport delay
2024-08-26,24927,Heavy traffic
2024-08-27,24064,Heavy traffic
2024-08-27,24068,Missed the bus
2024-08-27,24073,Overslept
2024-08-27,24746,Public transport delay
2024-08-28,24095,Bus broke down
2024-08-28,24099,Public transport delay
2024-08-28,24839,Bus broke down
2024-08-29,24081,Missed the bus
2024-08-29,24085,Alarm clock did not ring
2024-08-29,24912,Alarm clock did not ring
2024-08-30,24027,Bus arrived late
2024-08-30,24037,Heavy traffic
2024-08-30,24901,Missed the bus
2024-09-08,24050,Missed the bus
2024-09-08,24073,Overslept
2024-09-08,24849,Alarm clock did not ring
2024-09-09,24033,Public transport delay
2024-09-09,24071,Bus arrived late
2024-09-09,24974,Bus broke down
2024-09-10,24036,Missed the bus
2024-09-10,24085,Heavy traffic
2024-09-10,24092,Missed the bus
2024-09-10,24699,Missed the bus
2024-09-11,24041,Public transport delay
2024-09-11,24042,Bus arrived late
2024-09-11,24934,Heavy traffic
2024-09-12,24056,Missed the bus
2024-09-12,24095,Bus broke down
2024-09-12,24727,Public transport delay
2024-09-13,24031,Public transport delay
2024-09-13,24093,Heavy traffic
2024-09-13,24953,Alarm clock did not ring
2024-09-15,24023,Alarm clock did not ring
2024-09-15,24872,Missed the bus
2024-09-16,24079,Missed the bus
2024-09-16,24088,Bus arrived late
2024-09-16,24683,Bus arrived late
2024-09-17,24014,Public transport delay
2024-09-17,24092,Bus broke down
2024-09-17,24928,Heavy traffic
2024-09-18,24018,Alarm clock did not ring
2024-09-18,24063,Missed the bus
2024-09-18,24964,Public transport delay
2024-09-19,24044,Heavy traffic
2024-09-19,24073,Overslept
2024-09-19,24099,Public transport delay
2024-09-19,24792,Bus broke down
2024-09-20,24047,Missed the bus
2024-09-20,24064,Bus arrived late
2024-09-20,24856,Alarm clock did not ring
2024-09-22,24027,Alarm clock did not ring
2024-09-22,24047,Missed the bus
2024-09-22,24095,Overslept
2024-09-22,24918,Missed the bus
2024-09-23,24047,Missed the bus
2024-09-23,24057,Bus arrived late
2024-09-23,24671,Heavy traffic
2024-09-24,24039,Missed the bus
2024-09-24,24047,Missed the bus
2024-09-24,24049,Alarm clock did not ring
2024-09-24,24937,Public transport delay
2024-09-25,24081,Bus broke down
2024-09-25,24084,Public transport delay
2024-09-25,24890,Bus broke down
2024-09-26,24047,Missed the bus
2024-09-26,24053,Missed the bus
2024-09-26,24065,Heavy traffic
2024-09-26,24752,Alarm clock did not ring
2024-09-27,24033,Bus arrived late
2024-09-27,24073,Overslept
2024-09-27,24087,Public transport delay
2024-09-27,24698,Missed the bus
2024-09-29,24047,Missed the bus
2024-09-29,24085,Alarm clock did not ring
2024-09-29,24837,Heavy traffic
2024-09-30,24047,Missed the bus
2024-09-30,24058,Heavy traffic
2024-09-30,24095,Diarrhea
2024-09-30,24099,Public transport delay
2024-09-30,24979,Public transport delay
