Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
1,California Institute of Technology,United States,2243,6.9,26%,33 : 67,95.2,95.6,97.6,99.8,97.8,64,2016
2,University of Oxford,United Kingdom,19920,11.6,34%,46:54:00,94.2,86.5,98.9,98.8,73.1,94.4,2016
3,Stanford University,United States,15596,7.8,22%,42:58:00,93.9,92.5,96.2,99.9,63.3,76.3,2016
4,University of Cambridge,United Kingdom,18810,11.8,34%,46:54:00,92.8,88.2,96.7,97,55,91.5,2016
5,Massachusetts Institute of Technology,United States,11074,9,33%,37 : 63,92,89.4,88.6,99.7,95.4,84,2016
6,Harvard University,United States,20152,8.9,25%,,91.6,83.6,99,99.8,45.2,77.2,2016
7,Princeton University,United States,7929,8.4,27%,45:55:00,90.1,85.1,91.9,99.3,52.1,78.5,2016
8,Imperial College London,United Kingdom,15060,11.7,51%,37 : 63,89.1,83.3,88.5,96.7,53.7,96,2016
9,ETH Zurich,Switzerland,18178,14.7,37%,31 : 69,88.3,77,95,91.1,80,97.9,2016
10,The University of Chicago,United States,14221,6.9,20%,42:58:00,87.9,85.7,88.9,99.2,36.6,65,2016
11,Johns Hopkins University,United States,15128,3.6,23%,50:50:00,87.6,77.6,90.4,98.2,100,70,2016
12,Yale University,United States,11751,4.4,20%,50:50:00,87.4,86.5,87.8,97.2,43.3,64.3,2016
13,"University of California, Berkeley",United States,36186,16.4,15%,50:50:00,87.2,80.4,91.1,99.7,47.9,61.9,2016
14,UCL,United Kingdom,26605,10.7,46%,56:44:00,87.1,78.1,91,94.2,40.5,94.4,2016
15,Columbia University,United States,25055,5.9,28%,,86.1,85.9,82.2,98.1,62.4296875,73.5,2016
16,"University of California, Los Angeles",United States,38206,10.3,15%,52:48:00,85.8,80.8,88.6,98.5,47.9,56.4,2016
17,University of Pennsylvania,United States,20376,6.5,20%,51:49:00,85.2,82,86.9,98.6,47.9,49.5,2016
18,Cornell University,United States,21424,10.2,19%,48:52:00,84,77.9,86.1,97.2,33.7,63.9,2016
19,University of Toronto,Canada,66198,19.5,15%,,83.9,75.9,89.3,90.9,49.1,77.8,2016
20,Duke University,United States,15172,4.8,17%,49:51:00,82.7,76,78,99,100,56.5,2016
21,University of Michigan-Ann Arbor,United States,41786,9,16%,48:52:00,82.4,76.8,85.2,94.4,56.3,53.7,2016
22,Carnegie Mellon University,United States,11885,13.1,35%,39 : 61,82.3,67.4,88.8,99.1,57.5,57.1,2016
23,London School of Economics and Political Science,United Kingdom,9235,12.1,70%,53:47:00,81.3,69.8,80.6,94.3,32.2,93.6,2016
24,University of Edinburgh,United Kingdom,25775,14.1,36%,58:42:00,80.3,68.6,77.2,96.3,36.1,89.8,2016
25,Northwestern University,United States,18334,13.8,15%,48:52:00,79.5,69.8,78.4,96.5,81.2,53.9,2016
26,National University of Singapore,Singapore,31592,15.5,34%,49:51:00,79.2,71.7,84.5,79.4,49.8,96.2,2016
27,King’s College London,United Kingdom,21395,11.4,37%,61:39:00,78.2,64.5,75.8,93.8,40.1,93.8,2016
28,Karolinska Institute,Sweden,7774,11.5,22%,70:30:00,77.5,60.6,81.1,92.2,75.8,73.1,2016
29,LMU Munich,Germany,35691,15.5,13%,62:38:00,77.3,70.5,77.4,85.7,100,62.8,2016
30,New York University,United States,42056,6.8,19%,55:45:00,77.2,74.7,72.3,95.3,30.4,49.3,2016
31,École Polytechnique Fédérale de Lausanne,Switzerland,9666,10.5,54%,27 : 73,76.1,61.3,67.5,94.6,65.4,98.6,2016
32,University of Washington,United States,44020,11.8,13%,53:47:00,75.6,67.1,70,98.6,43.1,51.2,2016
33,University of Melbourne,Australia,40128,23.7,35%,55:45:00,75.4,62,75.5,86.6,64.6,87.1,2016
34,University of British Columbia,Canada,50152,17.6,25%,54:46:00,75.3,60.2,73.2,91.5,42.6,90.5,2016
35,KU Leuven,Belgium,42503,41.9,18%,54:46:00,74.8,59.9,76.9,87.3,100,68.6,2016
36,University of Illinois at Urbana-Champaign,United States,42727,18.7,20%,47:53:00,74.5,64.5,81.2,86.8,52.8,45.8,2016
37,Universität Heidelberg,Germany,28881,24.5,17%,55:45:00,74.4,68.8,69.6,88.2,68.2,62.8,2016
38,McGill University,Canada,31326,13.7,23%,56:44:00,72.6,66.1,72.1,78.9,40.3,85.5,2016
39,"University of California, San Diego",United States,27233,6.5,11%,48:52:00,72.2,56.9,69.8,98.7,56.7,42.9,2016
39,"University of California, Santa Barbara",United States,22020,27.3,11%,52:48:00,72.2,52.6,66,99.2,90.4,61.5,2016
41,Georgia Institute of Technology,United States,19967,20.1,26%,31 : 69,72.1,57.8,72.7,86,73.7,71.5,2016
42,Peking University,China,40148,8.3,14%,,72,77.8,72.4,69.1,100,49.2,2016
43,The University of Tokyo,Japan,26199,5.7,10%,,71.1,81.4,83,60.9,50.8,30.3,2016
44,University of Hong Kong,Hong Kong,19835,17.6,38%,53:47:00,71,64.6,72.8,70.1,53.7,99.5,2016
44,"University of California, Davis",United States,35364,13.9,13%,54:46:00,71,60.1,72.7,84.3,57.3,58.4,2016
46,University of Texas at Austin,United States,49427,17.4,9%,51:49:00,70.3,59.3,69.7,92.2,63.1,31.7,2016
47,Tsinghua University,China,39763,13.7,10%,32 : 68,70,73.3,83,58.8,100,39.5,2016
47,Wageningen University & Research,Netherlands,9248,17,21%,56:44:00,70,52.6,66.9,87.8,100,70.3,2016
49,Humboldt University of Berlin,Germany,29987,52.5,16%,,69.9,63.7,77,73.6,36.1,62.6,2016
50,University of Wisconsin-Madison,United States,39655,10.8,11%,51:49:00,69.7,65.1,68.2,86.6,48.5,33,2016
51,Brown University,United States,8653,10.1,19%,,69.6,62.8,55.7,96.4,31.4,57.8,2016
52,Australian National University,Australia,14604,19.2,35%,52:48:00,69.5,54.7,77.3,72.3,48,93.3,2016
53,Technical University of Munich,Germany,35565,31.5,20%,33 : 67,69.4,61,66,80.1,99.2,63.8,2016
54,École Normale Supérieure,France,2400,7.9,20%,46:54:00,69,70.6,47.7,87.1,37.1,85.5,2016
55,"Nanyang Technological University, Singapore",Singapore,25028,16.2,33%,48:52:00,68.2,48.4,61.3,85.6,99.9,94.6,2016
56,University of Manchester,United Kingdom,34940,15.3,34%,52:48:00,68.1,58.4,66,77.3,42,87,2016
56,The University of Sydney,Australia,41868,20.2,28%,57:43:00,68.1,54.3,68.1,77.5,72.4,84.4,2016
58,University of Amsterdam,Netherlands,24570,14.4,11%,53:47:00,67.8,52.2,64.7,87.4,62.8,66.5,2016
59,The Hong Kong University of Science and Technology,Hong Kong,11385,23.8,36%,,67.2,49.4,66.1,82.6,68.1,80.5,2016
