"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0vNPJrUrBnMFdCs8b2MTNG","Fader","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","spotify:album:0V59MMtgoruvEqMv18KAOH","Conditions (Tour Edition)","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","2009","https://i.scdn.co/image/ab67616d0000b273f86ae86dfa3919c5acba68f0","1","6","192373","https://p.scdn.co/mp3-preview/14264bd1501d27236aaa250633253911b2f3de50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBZUZ0900014","spotify:user:bradnumber1","2021-08-08T09:26:31Z","indietronica,modern rock,shimmer pop","0.532","0.76","11","-7.123","0","0.0353","0.000101","0.69","0.0752","0.158","134.974","4","","Liberation Records","C 2010 Liberation Music, P 2010 Liberation Music"
"spotify:track:0NpvdCO506uO58D4AbKzki","Sherry","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","spotify:album:0NUEQILaBzavnzcMEs4buZ","The Very Best of Frankie Valli & The 4 Seasons","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","2003-01-14","https://i.scdn.co/image/ab67616d0000b273b96c21e15c091eb98a6c88a4","1","1","152160","https://p.scdn.co/mp3-preview/e3f765262ebc349e663182d0e19bb24766314f39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRH10175197","spotify:user:bradnumber1","2021-08-08T09:26:31Z","adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly","0.703","0.478","7","-8.062","1","0.0441","0.626","0","0.113","0.734","117.562","4","","Rhino","C © 2004 Bob Gaudio & Frankie Valli d/b/a The 4 Seasons Partnership, by arrangement with Warner Special Products, P ℗ 2004 Bob Gaudio & Frankie Valli d/b/a The 4 Seasons Partnership, by arrangement with Warner Special Products"
"spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P","I Took A Pill In Ibiza - Seeb Remix","spotify:artist:2KsP6tYLJlTBvSUxnwlVWa, spotify:artist:5iNrZmtVMtYev5M9yoWpEq","Mike Posner, Seeb","spotify:album:1Tz3Ai1guEFf4hV3d9i17K","At Night, Alone.","spotify:artist:2KsP6tYLJlTBvSUxnwlVWa","Mike Posner","2016-05-06","https://i.scdn.co/image/ab67616d0000b273a19be7aca4a1fcd6e8a42c62","1","13","197933","https://p.scdn.co/mp3-preview/7bae6aac6d699135151854e9e3e5ae78f1a244f5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USUM71509342","spotify:user:bradnumber1","2021-08-08T09:26:31Z","dance pop,pop,pop dance,pop rap,pop dance","0.664","0.714","7","-6.645","0","0.111","0.0353","0.00000842","0.0843","0.71","101.969","4","","Monster Mountain, LLC / Island","C © 2016 Island Records, a division of UMG Recordings, Inc., P ℗ 2016 Island Records, a division of UMG Recordings, Inc."
"spotify:track:59lq75uFIqzUZcgZ4CbqFG","Let Go for Tonight","spotify:artist:7qRll6DYV06u2VuRPAVqug","Foxes","spotify:album:5AQ7uKRSpAv7SNUl4j24ru","Glorious (Deluxe)","spotify:artist:7qRll6DYV06u2VuRPAVqug","Foxes","2014-05-12","https://i.scdn.co/image/ab67616d0000b273ae5c7d20a58c6071b4571eff","1","5","238413","https://p.scdn.co/mp3-preview/84a003d72f9f146831bbfa39587ebc50ee76e0f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBARL1301249","spotify:user:bradnumber1","2021-08-08T09:26:31Z","electropop,metropopolis,uk pop","0.543","0.808","9","-6.615","0","0.0632","0.0429","0.00000164","0.326","0.299","140.064","4","","Sign Of The Times Records","P (P) 2014 Sign Of The Times Limited under exclusive licence to Sony Music Entertainment UK Limited"
"spotify:track:7KdcZQ3GJeGdserhK61kfv","The Way I Want To Touch You","spotify:artist:7BEfMxbaqx6dOpbtlEqScm","Captain & Tennille","spotify:album:3GUxesVyOehInaxJyCTh6d","Love Will Keep Us Together","spotify:artist:7BEfMxbaqx6dOpbtlEqScm","Captain & Tennille","1975-01-01","https://i.scdn.co/image/ab67616d0000b273e21a289d04d5f3d623807bee","1","3","163586","https://p.scdn.co/mp3-preview/9e7a4a7b7dc56dc3f08e1c9d84e78b52ddefb5cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USAM10110025","spotify:user:bradnumber1","2021-08-08T09:26:31Z","mellow gold,soft rock,yacht rock","0.664","0.585","0","-7.062","0","0.0248","0.624","0.000112","0.343","0.597","111.29","4","","A&M","C © 1975 A&M Records, P This Compilation ℗ 1975 A&M Records"
"spotify:track:000xQL6tZNLJzIrtIgxqSl","Still Got Time (feat. PARTYNEXTDOOR)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:2HPaUgqeutzr3jx5a9WyDV","ZAYN, PARTYNEXTDOOR","spotify:album:2kGUeTGnkLOYlinKRJe47G","Still Got Time (feat. PARTYNEXTDOOR)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2017-03-23","https://i.scdn.co/image/ab67616d0000b2733bfd914f72da2ed8822a634f","1","1","188490","https://p.scdn.co/mp3-preview/765e08c9b8930c6d0338c2d3d75c5b1c3efff338?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRC11700675","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop,uk pop,r&b,rap,urban contemporary","0.748","0.627","7","-6.029","1","0.0639","0.131","0","0.0852","0.524","120.963","4","","RCA Records Label","P (P) 2017 RCA Records, a division of Sony Music Entertainment"
"spotify:track:46xkXPGjR9Ig9BcaTUNus3","Your Song","spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Rita Ora","spotify:album:6Vn8F3hERVHYYz5RfKmsAN","Phoenix (Deluxe Edition)","spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Rita Ora","2018-11-23","https://i.scdn.co/image/ab67616d0000b273f1b136eb0388414a8225a348","1","5","180160","https://p.scdn.co/mp3-preview/d57008f417a1466ac0ab02020560d4d61d904e80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAHT1700323","spotify:user:bradnumber1","2021-11-17T22:21:05Z","dance pop,pop,uk pop","0.853","0.571","1","-5.845","1","0.0543","0.133","0","0.0564","0.958","117.991","4","","Atlantic Records UK","C © 2018 Atlantic Records UK except Track 9 (P) 2018 Asylum/Atlantic Records UK. Tracks 1 & 5 (P) 2017 Atlantic Records UK. Track 4 (P) 2017 Avicii Music AB under exclusive licence to Universal Music AB. Track 8 (P) 2018 Universal Studios, Atlantic Records UK, Capitol Records, a division of Universal Music Operations Limited. Asylum/Atlantic Records UK are divisions of Warner Music UK Limited., P ℗ 2018 Atlantic Records UK except Track 9 (P) 2018 Asylum/Atlantic Records UK. Tracks 1 & 5 (P) 2017 Atlantic Records UK. Track 4 (P) 2017 Avicii Music AB under exclusive licence to Universal Music AB. Track 8 (P) 2018 Universal Studios, Atlantic Records UK, Capitol Records, a division of Universal Music Operations Limited. Asylum/Atlantic Records UK are divisions of Warner Music UK Limited."
"spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","Fix You","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:4E7bV0pzG0LciBSWTszra6","X&Y","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2005-06-07","https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651","1","4","295533","https://p.scdn.co/mp3-preview/4ee64ea0fcfc1e6142d3b1e76464e95834fa87dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBAYE0500605","spotify:user:bradnumber1","2021-08-08T09:26:31Z","permanent wave,pop","0.209","0.417","3","-8.74","1","0.0338","0.164","0.00196","0.113","0.124","138.178","4","","Parlophone Records Limited","C © 2005 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2005 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:1s2khOWzC99udpUaPICLJI","There You'll Be - 2007 Remaster","spotify:artist:25NQNriVT2YbSW80ILRWJa","Faith Hill","spotify:album:7fvl3dOnDrv9rq5IBmLbAa","The Hits","spotify:artist:25NQNriVT2YbSW80ILRWJa","Faith Hill","2007","https://i.scdn.co/image/ab67616d0000b2733ee43d5dbf7da3e65be844b3","1","7","220840","https://p.scdn.co/mp3-preview/a3b43c90cfdf09ed61c5b1622f4a4e6a1f6a00a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USWB10704273","spotify:user:bradnumber1","2021-08-08T09:26:31Z","contemporary country,country,country dawn,country road","0.325","0.532","8","-7.208","1","0.0308","0.496","0","0.134","0.162","129.021","4","","Warner Records/Nashville","C © 2007 Warner Records Inc., P ℗ 1994, 1995, 1998, 1999, 2001, 2002, 2005, 2007 Warner Records Inc.; 2007 Curb Records, Inc."
"spotify:track:2sXp9Qmvc7mRaDBjBgcGGi","Every Breath You Take - Remastered 2003","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:7yDxJXFPl88Dt9kBo0dDD6","Synchronicity","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1983-06-01","https://i.scdn.co/image/ab67616d0000b273e7b53d0f9fb616521cdbfc03","1","7","253886","https://p.scdn.co/mp3-preview/92d7997134bb18b99eb5fdc65926e4ef613f9781?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","GBAAM0201110","spotify:user:bradnumber1","2021-08-08T09:26:31Z","album rock,classic rock,permanent wave,rock","0.813","0.46","1","-9.78","1","0.0346","0.56","0.0105","0.0724","0.729","117.387","4","","A&M","C © 2003 A&M Records, P ℗ 2003 A&M Records"
